Tiempo (s),Posición Y (px),Posición X (px),Posición Y (m),Posición X (m),Velocidad Y (m/s),Velocidad X (m/s),Aceleración Y (m/s^2),Aceleración X (m/s^2)
0.0,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.004166666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.008333333333333333,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.0125,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.016666666666666666,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.020833333333333332,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.025,41.0,-10.0,0.370927,-0.09047,0.0,0.0,0.0,0.0
0.029166666666666667,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.03333333333333333,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.0375,38.0,-10.0,0.343786,-0.09047,0.0,0.0,0.0,0.0
0.041666666666666664,38.0,-11.0,0.343786,-0.099517,-0.6513840000000006,0.0,-31.26643200000003,0.0
0.04583333333333333,37.0,-9.0,0.334739,-0.08142299999999998,-0.868512,0.4342560000000003,-41.688576000000005,20.84428800000002
0.05,38.0,-10.0,0.343786,-0.09047,-0.6513840000000005,0.21712799999999996,-31.266432000000023,10.422143999999998
0.05416666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.058333333333333334,38.0,-10.0,0.343786,-0.09047,0.0,0.21712799999999996,0.0,10.422143999999998
0.0625,41.0,-11.0,0.370927,-0.099517,0.0,0.0,31.266432000000027,0.0
0.06666666666666667,41.0,-11.0,0.370927,-0.099517,0.0,-0.217128,41.68857599999999,-31.266432000000012
0.07083333333333333,40.0,-10.0,0.36188,-0.09047,0.434256,0.217128,52.11072000000004,1.3322676295501882e-15
0.075,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.07916666666666666,38.0,-10.0,0.343786,-0.09047,0.0,0.0,0.0,-10.422144000000001
0.08333333333333333,41.0,-11.0,0.370927,-0.099517,0.6513840000000006,0.0,31.266432000000037,0.0
0.0875,38.0,-11.0,0.343786,-0.099517,0.21712799999999932,-0.4342560000000003,10.42214399999997,-10.422144000000017
0.09166666666666666,41.0,-11.0,0.370927,-0.099517,0.6513840000000007,-0.21712800000000004,10.422144000000038,-20.844288000000006
0.09583333333333334,38.0,-11.0,0.343786,-0.099517,-0.6513840000000005,0.0,-31.266432000000012,0.0
0.1,41.0,-11.0,0.370927,-0.099517,0.6513840000000005,-0.21712799999999996,31.266432000000012,-10.422143999999994
0.10416666666666667,38.0,-10.0,0.343786,-0.09047,-0.6513840000000005,0.21712799999999996,-62.53286400000003,10.422143999999994
0.10833333333333334,41.0,-11.0,0.370927,-0.099517,0.0,0.0,-10.422143999999962,20.844288000000006
0.1125,41.0,-11.0,0.370927,-0.099517,0.21712800000000063,-0.21712799999999996,-20.844287999999995,3.996802888650562e-15
0.11666666666666667,38.0,-11.0,0.343786,-0.099517,-0.6513840000000005,0.0,0.0,0.0
0.12083333333333333,41.0,-11.0,0.370927,-0.099517,0.6513840000000005,-0.21712799999999996,0.0,0.0
0.125,38.0,-10.0,0.343786,-0.09047,-0.6513840000000005,0.21712799999999996,0.0,0.0
0.12916666666666668,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,0.0,31.266432000000002,0.0
0.13333333333333333,38.0,-11.0,0.343786,-0.099517,-0.6513840000000005,0.0,-41.68857600000007,10.422144000000001
0.1375,41.0,-11.0,0.370927,-0.099517,0.6513840000000005,0.0,62.532864000000025,0.0
0.14166666666666666,38.0,-11.0,0.343786,-0.099517,-0.6513840000000007,0.0,-62.532864000000075,10.422144000000001
0.14583333333333334,41.0,-11.0,0.370927,-0.099517,0.6513840000000005,-0.21712799999999996,62.532864000000025,-20.844287999999988
0.15,38.0,-11.0,0.343786,-0.099517,-0.6513840000000007,0.0,-62.5328640000001,0.0
0.15416666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,31.266432000000012,0.0
0.15833333333333333,38.0,-11.0,0.343786,-0.099517,0.0,0.0,-31.26643200000005,0.0
0.1625,41.0,-11.0,0.370927,-0.099517,0.0,0.0,31.266432000000023,0.0
0.16666666666666666,38.0,-10.0,0.343786,-0.09047,0.0,0.0,-31.26643200000005,10.422144000000007
0.17083333333333334,41.0,-11.0,0.370927,-0.099517,0.0,0.0,31.266432000000023,0.0
0.175,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.17916666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.18333333333333332,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.1875,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.19166666666666668,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.19583333333333333,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.2,38.0,-10.0,0.343786,-0.09047,0.0,0.2171279999999999,0.0,10.42214399999999
0.20416666666666666,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.20833333333333334,38.0,-11.0,0.343786,-0.099517,0.0,-0.2171279999999999,0.0,-10.42214399999999
0.2125,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.21666666666666667,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.22083333333333333,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,-10.422144000000005
0.225,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.22916666666666666,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,10.422144000000005
0.23333333333333334,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.2375,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,0.0
0.24166666666666667,38.0,-10.0,0.343786,-0.09047,0.0,0.0,0.0,0.0
0.24583333333333332,38.0,-11.0,0.343786,-0.099517,-0.6513840000000007,0.0,-31.266432000000062,0.0
0.25,41.0,-11.0,0.370927,-0.099517,0.6513840000000007,0.0,31.266432000000023,0.0
0.25416666666666665,38.0,-11.0,0.343786,-0.099517,-0.6513840000000007,0.0,-31.266432000000062,0.0
0.25833333333333336,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,0.0,31.26643199999996,0.0
0.2625,38.0,-11.0,0.343786,-0.099517,-0.6513840000000003,0.0,-31.266432000000002,0.0
0.26666666666666666,41.0,-11.0,0.370927,-0.099517,0.6513840000000007,0.0,62.532864000000046,0.0
0.2708333333333333,38.0,-11.0,0.343786,-0.099517,-0.6513840000000007,0.0,-62.532864000000124,0.0
0.275,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,0.0,62.53286399999994,0.0
0.2791666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-52.11072000000012,10.422144000000005
0.2833333333333333,41.0,-11.0,0.370927,-0.099517,0.6513840000000007,-0.21712800000000004,62.5328640000001,-10.422144000000012
0.2875,38.0,-10.0,0.343786,-0.09047,0.0,0.21712800000000004,-31.266432000000062,10.422144000000012
0.2916666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,31.26643199999998,0.0
0.29583333333333334,39.0,-10.0,0.35283299999999995,-0.09047,0.21712799999999924,0.2171279999999999,-20.84428800000007,10.422144000000005
0.3,41.0,-11.0,0.370927,-0.099517,0.0,0.0,20.844288000000073,-10.422144000000005
0.30416666666666664,39.0,-10.0,0.35283299999999995,-0.09047,0.21712799999999952,0.21712800000000018,-20.844288000000077,20.844288000000027
0.30833333333333335,41.0,-11.0,0.370927,-0.099517,0.0,0.0,0.0,-10.422143999999983
0.3125,38.0,-11.0,0.343786,-0.099517,0.0,0.0,0.0,0.0
0.31666666666666665,41.0,-11.0,0.370927,-0.099517,0.0,0.0,-10.422143999999973,-10.422144000000005
0.32083333333333336,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.2171279999999999,0.0,-10.422143999999976
0.325,38.0,-11.0,0.343786,-0.099517,-0.6513840000000003,0.0,-41.68857599999992,-10.42214399999999
0.32916666666666666,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,-0.2171279999999999,31.26643200000004,-10.422144000000005
0.3333333333333333,40.0,-10.0,0.36188,-0.09047,-0.21712800000000085,0.21712800000000018,-10.42214400000005,10.422144000000017
0.3375,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,20.844288000000017,-10.422143999999976
0.3416666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-20.844288000000073,20.84428800000001
0.3458333333333333,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,52.11072000000012,-10.422144000000005
0.35,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-52.11072000000014,20.844288000000024
0.3541666666666667,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,0.0,41.68857599999998,-10.42214399999999
0.35833333333333334,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-41.68857600000015,20.84428800000001
0.3625,38.0,-11.0,0.343786,-0.099517,-0.21712799999999952,0.0,10.422144000000086,-10.422144000000005
0.36666666666666664,41.0,-11.0,0.370927,-0.099517,0.6513840000000012,0.0,10.422144000000012,10.422144000000005
0.37083333333333335,40.0,-10.0,0.36188,-0.09047,-0.21712800000000057,0.2171279999999999,10.422144000000035,-1.3322676295501855e-14
0.375,41.0,-11.0,0.370927,-0.099517,0.21712800000000057,-0.2171279999999999,-20.844288000000006,-10.422144000000005
0.37916666666666665,40.0,-10.0,0.36188,-0.09047,-0.21712800000000085,0.21712800000000018,10.422144000000023,1.3322676295501891e-14
0.38333333333333336,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,31.266431999999973,-10.422143999999976
0.3875,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-52.11072000000002,10.422143999999976
0.39166666666666666,40.0,-10.0,0.36188,-0.09047,0.21712800000000057,0.0,20.844288000000073,-10.422144000000005
0.3958333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-31.266432000000137,20.844288000000024
0.4,40.0,-10.0,0.36188,-0.09047,0.21712800000000057,0.0,20.84428800000003,-10.42214399999999
0.4041666666666667,41.0,-11.0,0.370927,-0.099517,0.6513840000000003,0.0,10.42214399999997,10.422144000000005
0.4083333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,0.0,0.0
0.4125,41.0,-11.0,0.370927,-0.099517,0.21712800000000085,-0.21712800000000018,1.3322676295501891e-14,-10.422144000000017
0.4166666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,2.664535259100371e-14,-1.3322676295501855e-14
0.42083333333333334,41.0,-11.0,0.370927,-0.099517,0.21712800000000057,-0.2171279999999999,0.0,-10.422144000000005
0.425,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-52.11072000000014,10.422144000000017
0.42916666666666664,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.21712800000000018,41.688576000000175,-20.844288000000024
0.43333333333333335,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000057,0.0,-20.84428800000003,10.42214399999999
0.4375,40.0,-10.0,0.36188,-0.09047,0.21712800000000057,0.0,31.266432000000112,-10.422144000000005
0.44166666666666665,41.0,-11.0,0.370927,-0.099517,0.21712800000000085,-0.21712800000000018,1.3322676295501891e-14,-1.3322676295501891e-14
0.44583333333333336,40.0,-10.0,0.36188,-0.09047,-0.21712800000000057,0.2171279999999999,10.422144000000035,-1.3322676295501855e-14
0.45,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,-2.664535259100371e-14,1.3322676295501855e-14
0.45416666666666666,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-10.422144000000037,10.422144000000005
0.4583333333333333,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.21712800000000018,10.422144000000063,-10.422144000000017
0.4625,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-31.266432000000037,20.844287999999967
0.4666666666666667,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,31.266432000000112,-20.84428800000001
0.4708333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000114,0.2171279999999999,-41.68857600000015,20.84428800000001
0.475,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.21712800000000018,41.688576000000175,-20.844288000000024
0.4791666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000057,0.0,-31.266432000000055,10.42214399999999
0.48333333333333334,40.0,-10.0,0.36188,-0.09047,-0.21712800000000057,0.2171279999999999,10.422144000000037,0.0
0.4875,41.0,-11.0,0.370927,-0.099517,0.21712800000000085,-0.21712800000000018,-10.422144000000023,-1.3322676295501891e-14
0.49166666666666664,40.0,-10.0,0.36188,-0.09047,-0.21712800000000085,0.21712800000000018,10.422144000000023,1.3322676295501891e-14
0.49583333333333335,41.0,-11.0,0.370927,-0.099517,0.43425600000000114,-0.2171279999999999,-2.664535259100371e-14,1.3322676295501855e-14
0.5,40.0,-10.0,0.36188,-0.09047,-0.21712800000000057,0.2171279999999999,0.0,10.422144000000005
0.5041666666666667,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.21712800000000018,31.266432000000137,-20.844288000000024
0.5083333333333333,40.0,-10.0,0.36188,-0.09047,-0.21712800000000085,0.21712800000000018,-20.8442880000001,20.844288000000034
0.5125,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.21712800000000018,31.266432000000147,-20.844288000000034
0.5166666666666667,41.0,-10.0,0.370927,-0.09047,0.0,0.2171279999999996,-20.844288000000017,20.844287999999942
0.5208333333333334,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000008,-10.422143999999976
0.525,41.0,-11.0,0.370927,-0.099517,0.21712800000000057,-0.2171279999999999,-10.422144000000035,1.3322676295501855e-14
0.5291666666666667,39.0,-9.0,0.35283299999999995,-0.08142299999999998,-0.43425600000000114,0.43425600000000014,-10.422143999999996,10.42214399999998
0.5333333333333333,41.0,-11.0,0.370927,-0.099517,0.21712800000000057,-0.2171279999999999,-10.422144000000035,1.3322676295501855e-14
0.5375,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-20.844288000000155,2.7977620220554046e-14
0.5416666666666666,41.0,-11.0,0.370927,-0.099517,0.21712800000000085,-0.21712800000000018,10.422144000000078,-10.422144000000046
0.5458333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-31.266432000000222,20.844288000000077
0.55,41.0,-11.0,0.370927,-0.099517,0.21712800000000027,-0.2171279999999996,31.266432000000012,-31.26643199999993
0.5541666666666667,39.0,-9.0,0.35283299999999995,-0.08142299999999998,-0.43425600000000053,0.43425599999999953,-31.266431999999995,31.266431999999917
0.5583333333333333,41.0,-11.0,0.370927,-0.099517,0.0,-0.21712800000000018,20.844288000000045,-20.84428799999998
0.5625,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.422144000000023,10.42214399999999
0.5666666666666667,40.0,-10.0,0.36188,-0.09047,-0.21712800000000085,0.21712800000000018,10.422144000000023,0.0
0.5708333333333333,41.0,-11.0,0.370927,-0.099517,0.4342560000000017,-0.4342560000000007,10.422144000000106,-10.42214400000009
0.575,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-5.595524044110809e-14,-10.422144000000007
0.5791666666666667,41.0,-11.0,0.370927,-0.099517,0.43425600000000053,-0.2171279999999996,20.844287999999988,2.7977620220553894e-14
0.5833333333333334,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000053,0.2171279999999996,-20.844287999999988,10.422143999999962
0.5875,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000023,-10.42214399999999
0.5916666666666667,41.0,-11.0,0.370927,-0.099517,0.0,0.0,-20.844288000000045,20.844287999999995
0.5958333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,-0.21712800000000052,20.844288000000045,-20.844287999999995
0.6,39.0,-10.0,0.35283299999999995,-0.09047,-0.4342560000000017,0.21712800000000018,-41.68857600000025,20.844288000000063
0.6041666666666666,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.0,31.26643200000018,-10.422144000000017
0.6083333333333333,40.0,-10.0,0.36188,-0.09047,0.0,0.0,0.0,0.0
0.6125,39.0,-10.0,0.35283299999999995,-0.09047,-0.43425600000000053,0.2171279999999996,-20.844287999999988,10.422143999999962
0.6166666666666667,40.0,-10.0,0.36188,-0.09047,0.21712800000000027,0.0,10.422143999999994,10.422144000000007
0.6208333333333333,40.0,-11.0,0.36188,-0.099517,-0.21712800000000085,0.0,10.422144000000023,-10.42214399999999
0.625,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.422144000000023,0.0
0.6291666666666667,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,0.0,-10.42214399999999
0.6333333333333333,39.0,-11.0,0.35283299999999995,-0.099517,-0.4342560000000017,0.0,-5.595524044110809e-14,-10.422144000000017
0.6375,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.0,2.7977620220554046e-14,0.0
0.6416666666666667,40.0,-11.0,0.36188,-0.099517,0.21712800000000027,-0.2171279999999996,20.844288000000017,-10.422143999999962
0.6458333333333334,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000027,0.0,-10.422143999999994,0.0
0.65,38.0,-11.0,0.343786,-0.099517,-0.4342559999999992,-0.2171279999999996,-20.844287999999924,2.7977620220553894e-14
0.6541666666666667,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,20.844288000000045,-10.42214399999999
0.6583333333333333,40.0,-10.0,0.36188,-0.09047,0.0,0.0,-10.422144000000023,0.0
0.6625,40.0,-11.0,0.36188,-0.099517,0.0,0.0,-10.42214400000005,10.422144000000017
0.6666666666666666,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.42214400000005,0.0
0.6708333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.21712800000000018,20.844288000000034,20.844288000000063
0.675,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.2171279999999996,0.0,20.844287999999953
0.6791666666666667,40.0,-11.0,0.36188,-0.099517,0.0,-0.2171279999999996,0.0,-10.422143999999962
0.6833333333333333,40.0,-10.0,0.36188,-0.09047,0.0,0.21712800000000018,0.0,10.42214399999999
0.6875,40.0,-11.0,0.36188,-0.099517,0.21712800000000085,-0.21712800000000018,10.422144000000023,-10.42214399999999
0.6916666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.21712799999999952,0.21712800000000018,10.422143999999959,0.0
0.6958333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.21712800000000018,0.0,2.7977620220554046e-14
0.7,39.0,-11.0,0.35283299999999995,-0.099517,-0.21712800000000085,-0.21712800000000018,-10.422144000000078,-2.7977620220554046e-14
0.7041666666666667,40.0,-10.0,0.36188,-0.09047,0.0,0.2171279999999996,0.0,-2.7977620220553894e-14
0.7083333333333334,40.0,-11.0,0.36188,-0.099517,0.21712800000000027,-0.2171279999999996,-2.7977620220553894e-14,2.7977620220553894e-14
